,start,anyone,mrna,life,minister,effect,way,thank,pfizer,post,covidvaccines,today,people,number,time,ocgn,president,article,emergency,vaccination,russia,pfizercovidvaccine,sinopharm,everyone,dubai,site,year,world,reaction,thanks,day,moderna,death,arm,sinovac,doe,healthcare,injection,pfizervaccine,variant,question,home,biontech,supply,covidvaccine,report,iran,team,scientist,covidvaccination,borisjohnson,pfizerbiontech,amp,jab,fda,covaxin,country,dos,science,feel,group,china,morning,month,coronavirus,government,trial,canada,case,data,yesterday,oxfordastrazeneca,dose,efficacy,hour,shot,batch,news,use,delivery,vaccine,side,health,staff,hospital,study,state,week,approval,part,sputnikv,hope,oxford,worker,astrazeneca,work,get,end,care,india
data,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,12.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,4.0,5.0,1.0,4.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,0.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,30.0,7.0,3.0,0.0,5.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,11.0,0.0,1.0,120.0,0.0,0.0,5.0,8.0,0.0,0.0,1.0,3.0,1.0,0.0,43.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,3.0,1.0,7.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0
yesterday,0.0,2.0,0.0,0.0,0.0,8.0,1.0,2.0,7.0,1.0,0.0,9.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,10.0,1.0,5.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,8.0,0.0,0.0,1.0,0.0,3.0,0.0,22.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,100.0,3.0,9.0,0.0,4.0,7.0,0.0,1.0,1.0,0.0,42.0,3.0,4.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0
oxfordastrazeneca,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,11.0,2.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,3.0,57.0,1.0,2.0,0.0,2.0,1.0,5.0,3.0,0.0,30.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
dose,0.0,0.0,0.0,0.0,0.0,7.0,2.0,6.0,14.0,5.0,0.0,15.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,10.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,4.0,19.0,12.0,0.0,8.0,1.0,1.0,1.0,2.0,9.0,0.0,1.0,1.0,3.0,1.0,23.0,0.0,0.0,1.0,1.0,2.0,3.0,80.0,8.0,1.0,1.0,0.0,3.0,2.0,3.0,7.0,1.0,1.0,3.0,1.0,0.0,3.0,2.0,0.0,3.0,5.0,9.0,1.0,209.0,3.0,9.0,0.0,1.0,3.0,0.0,0.0,62.0,4.0,2.0,2.0,1.0,1.0,0.0,12.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
efficacy,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,13.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,8.0,0.0,2.0,3.0,77.0,0.0,0.0,0.0,3.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
hour,0.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,7.0,26.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,4.0,15.0,9.0,22.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,4.0,1.0,37.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,5.0,1.0,13.0,0.0,0.0,0.0,9.0,0.0,4.0,0.0,9.0,0.0,129.0,5.0,0.0,0.0,0.0,0.0,42.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
shot,1.0,1.0,1.0,0.0,1.0,6.0,1.0,4.0,17.0,5.0,0.0,16.0,13.0,3.0,6.0,0.0,3.0,0.0,1.0,5.0,0.0,1.0,2.0,3.0,4.0,3.0,2.0,1.0,1.0,4.0,10.0,29.0,2.0,8.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,9.0,1.0,14.0,1.0,0.0,0.0,1.0,1.0,1.0,45.0,4.0,1.0,0.0,6.0,0.0,6.0,3.0,2.0,2.0,0.0,1.0,1.0,4.0,3.0,1.0,2.0,0.0,0.0,7.0,2.0,0.0,0.0,5.0,185.0,1.0,2.0,1.0,2.0,63.0,1.0,5.0,1.0,1.0,4.0,2.0,11.0,3.0,0.0,0.0,1.0,0.0,4.0,1.0,6.0,2.0,4.0,1.0,2.0
batch,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,24.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,57.0,0.0,1.0,1.0,37.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
news,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,21.0,2.0,1.0,10.0,3.0,1.0,3.0,9.0,2.0,1.0,5.0,5.0,3.0,1.0,1.0,2.0,4.0,0.0,2.0,3.0,0.0,0.0,2.0,12.0,2.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,1.0,2.0,3.0,6.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,40.0,2.0,1.0,1.0,11.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,3.0,1.0,5.0,3.0,3.0,0.0,2.0,0.0,172.0,8.0,1.0,56.0,2.0,3.0,0.0,0.0,4.0,1.0,8.0,2.0,1.0,5.0,1.0,1.0,1.0,4.0,0.0,2.0,2.0,1.0,3.0
use,0.0,0.0,1.0,0.0,6.0,0.0,2.0,0.0,69.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,28.0,67.0,5.0,17.0,1.0,3.0,0.0,0.0,0.0,3.0,11.0,0.0,1.0,1.0,6.0,1.0,0.0,3.0,2.0,0.0,0.0,4.0,2.0,1.0,0.0,24.0,1.0,5.0,1.0,1.0,0.0,0.0,3.0,1.0,28.0,5.0,0.0,5.0,2.0,11.0,2.0,0.0,0.0,4.0,7.0,0.0,0.0,44.0,3.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,8.0,196.0,0.0,151.0,0.0,21.0,0.0,0.0,0.0,3.0,3.0,7.0,3.0,20.0,0.0,4.0,0.0,6.0,0.0,2.0,0.0,0.0,5.0
