,start,anyone,mrna,life,minister,effect,way,thank,pfizer,post,covidvaccines,today,people,number,time,ocgn,president,article,emergency,vaccination,russia,pfizercovidvaccine,sinopharm,everyone,dubai,site,year,world,reaction,thanks,day,moderna,death,arm,sinovac,doe,healthcare,injection,pfizervaccine,variant,question,home,biontech,supply,covidvaccine,report,iran,team,scientist,covidvaccination,borisjohnson,pfizerbiontech,amp,jab,fda,covaxin,country,dos,science,feel,group,china,morning,month,coronavirus,government,trial,canada,case,data,yesterday,oxfordastrazeneca,dose,efficacy,hour,shot,batch,news,use,delivery,vaccine,side,health,staff,hospital,study,state,week,approval,part,sputnikv,hope,oxford,worker,astrazeneca,work,get,end,care,india
part,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,27.0,6.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,27.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,80.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,0.0
sputnikv,10.0,0.0,0.0,0.0,11.0,3.0,3.0,0.0,4.0,1.0,0.0,4.0,3.0,2.0,3.0,0.0,6.0,1.0,2.0,25.0,90.0,0.0,5.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,2.0,10.0,6.0,1.0,5.0,1.0,2.0,1.0,2.0,0.0,3.0,0.0,2.0,3.0,5.0,3.0,17.0,2.0,1.0,0.0,1.0,13.0,6.0,7.0,0.0,0.0,8.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,22.0,4.0,11.0,6.0,9.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,5.0,20.0,0.0,125.0,2.0,6.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,251.0,4.0,5.0,0.0,14.0,1.0,1.0,2.0,0.0,1.0
hope,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,7.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,3.0,1.0,18.0,1.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,25.0,1.0,4.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,63.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0
oxford,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,15.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,30.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,0.0,65.0,0.0,17.0,1.0,0.0,1.0,0.0,1.0
worker,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,11.0,1.0,0.0,7.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,0.0,2.0,0.0,1.0,1.0,2.0,3.0,1.0,11.0,2.0,5.0,0.0,1.0,0.0,1.0,0.0,33.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,5.0,0.0,0.0,2.0,5.0,1.0,0.0,16.0,3.0,3.0,0.0,7.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,42.0,0.0,26.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,106.0,1.0,3.0,3.0,0.0,7.0,2.0
astrazeneca,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,23.0,1.0,1.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0,6.0,3.0,3.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,6.0,30.0,4.0,0.0,3.0,2.0,1.0,0.0,5.0,5.0,1.0,1.0,12.0,0.0,8.0,0.0,0.0,0.0,1.0,3.0,1.0,58.0,2.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,10.0,1.0,3.0,1.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,6.0,0.0,84.0,1.0,2.0,0.0,0.0,6.0,0.0,2.0,3.0,1.0,14.0,1.0,17.0,1.0,146.0,2.0,0.0,1.0,1.0,1.0
work,1.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,21.0,2.0,0.0,13.0,6.0,0.0,3.0,0.0,0.0,4.0,0.0,5.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,11.0,0.0,2.0,0.0,8.0,2.0,0.0,3.0,9.0,2.0,0.0,4.0,0.0,12.0,0.0,0.0,1.0,3.0,0.0,1.0,33.0,3.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,6.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,66.0,0.0,3.0,2.0,3.0,8.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,127.0,0.0,0.0,3.0,0.0
get,0.0,0.0,2.0,0.0,1.0,2.0,0.0,5.0,12.0,1.0,1.0,21.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,3.0,3.0,4.0,3.0,0.0,6.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,8.0,0.0,1.0,0.0,2.0,1.0,1.0,34.0,4.0,1.0,2.0,1.0,4.0,4.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,53.0,1.0,4.0,0.0,2.0,0.0,1.0,4.0,0.0,5.0,1.0,2.0,0.0,3.0,0.0,0.0,123.0,2.0,4.0,1.0
end,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,3.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,10.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,3.0,0.0,2.0,2.0,5.0,2.0,2.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,1.0,18.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,63.0,0.0,0.0
care,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,17.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,12.0,5.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,0.0,16.0,5.0,2.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,3.0,4.0,0.0,62.0,0.0
india,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,17.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,7.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,2.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,5.0,0.0,35.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,79.0
