,road,mrna,ocugen,effect,please,thank,pfizer,columbia,mumbai,today,people,time,ocgn,emergency,pvt,vaccination,russia,sinopharm,year,world,mumbaicovaxin,thanks,day,moderna,bharatbiotech,arm,ltd,biotech,fee,sinovac,company,variant,govt,centre,covidvaccine,floor,report,clinic,pmc,pfizerbiontech,amp,jul,gurgaoncovaxin,jab,covaxin,country,dos,hosp,pincode,production,punecovaxin,availability,china,month,city,coronavirus,phase,government,trial,june,data,canada,case,date,bengaluru,dose,efficacy,shot,hour,apollo,covishield,news,center,use,marg,vaccine,side,health,slot,hospital,study,delta,price,state,week,sec,approval,age,sputnikv,child,plot,astrazeneca,work,get,shop,india,sputnik,bharat,thane,fortis
mumbaicovaxin,735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,57.0,0.0,0.0,0.0,0.0,612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thanks,5.0,6.0,2.0,7.0,6.0,8.0,27.0,0.0,3.0,122.0,16.0,18.0,0.0,0.0,0.0,67.0,5.0,16.0,9.0,13.0,0.0,916.0,20.0,143.0,31.0,5.0,0.0,0.0,0.0,34.0,2.0,0.0,3.0,8.0,14.0,1.0,1.0,9.0,0.0,12.0,15.0,0.0,0.0,47.0,232.0,10.0,11.0,0.0,0.0,1.0,0.0,2.0,5.0,3.0,6.0,3.0,0.0,19.0,1.0,0.0,5.0,4.0,2.0,3.0,0.0,32.0,2.0,40.0,5.0,1.0,9.0,8.0,5.0,1.0,0.0,139.0,6.0,31.0,14.0,10.0,1.0,0.0,1.0,4.0,12.0,1.0,2.0,0.0,30.0,0.0,0.0,7.0,16.0,15.0,2.0,16.0,4.0,4.0,2.0,1.0
day,1.0,12.0,20.0,77.0,13.0,16.0,82.0,0.0,7.0,157.0,66.0,50.0,13.0,7.0,0.0,153.0,14.0,68.0,43.0,21.0,0.0,20.0,2377.0,405.0,36.0,159.0,0.0,3.0,0.0,61.0,13.0,5.0,16.0,27.0,31.0,0.0,40.0,3.0,0.0,39.0,60.0,0.0,0.0,59.0,441.0,5.0,43.0,0.0,0.0,9.0,0.0,11.0,21.0,15.0,15.0,17.0,34.0,13.0,52.0,23.0,18.0,6.0,37.0,19.0,1.0,164.0,11.0,171.0,36.0,0.0,32.0,46.0,10.0,9.0,0.0,370.0,61.0,24.0,35.0,26.0,12.0,4.0,8.0,10.0,79.0,1.0,16.0,28.0,58.0,14.0,0.0,15.0,28.0,38.0,1.0,39.0,14.0,7.0,0.0,4.0
moderna,5.0,413.0,4.0,315.0,62.0,167.0,2384.0,1.0,7.0,609.0,213.0,219.0,6.0,173.0,1.0,363.0,7.0,26.0,200.0,75.0,0.0,143.0,405.0,12541.0,5.0,397.0,0.0,28.0,2.0,30.0,143.0,77.0,76.0,83.0,351.0,3.0,119.0,32.0,0.0,43.0,406.0,4.0,0.0,400.0,100.0,38.0,217.0,0.0,0.0,53.0,0.0,7.0,16.0,240.0,12.0,142.0,28.0,133.0,114.0,78.0,57.0,141.0,71.0,49.0,0.0,382.0,96.0,1053.0,206.0,0.0,43.0,179.0,20.0,217.0,0.0,3372.0,231.0,123.0,2.0,20.0,177.0,92.0,136.0,99.0,309.0,3.0,202.0,97.0,28.0,95.0,2.0,279.0,109.0,208.0,4.0,310.0,16.0,2.0,0.0,0.0
bharatbiotech,1.0,6.0,697.0,12.0,55.0,100.0,21.0,0.0,5.0,58.0,41.0,30.0,301.0,116.0,0.0,30.0,1.0,0.0,19.0,119.0,0.0,31.0,36.0,5.0,2739.0,0.0,2.0,214.0,1.0,1.0,35.0,41.0,35.0,15.0,40.0,0.0,36.0,1.0,0.0,0.0,73.0,0.0,0.0,30.0,2290.0,24.0,64.0,0.0,1.0,89.0,0.0,3.0,0.0,41.0,5.0,34.0,122.0,13.0,233.0,75.0,260.0,30.0,6.0,8.0,1.0,41.0,62.0,11.0,11.0,0.0,46.0,67.0,3.0,105.0,0.0,444.0,10.0,24.0,9.0,17.0,39.0,42.0,14.0,31.0,15.0,7.0,189.0,11.0,6.0,19.0,0.0,1.0,27.0,27.0,0.0,212.0,2.0,209.0,0.0,7.0
arm,1.0,2.0,0.0,96.0,4.0,12.0,28.0,0.0,0.0,57.0,5.0,19.0,0.0,1.0,0.0,32.0,1.0,7.0,5.0,1.0,0.0,5.0,159.0,397.0,0.0,875.0,0.0,2.0,0.0,19.0,3.0,0.0,1.0,0.0,26.0,0.0,5.0,0.0,0.0,15.0,34.0,0.0,0.0,31.0,18.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,42.0,0.0,217.0,108.0,0.0,2.0,4.0,0.0,1.0,0.0,163.0,71.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,25.0,0.0,0.0,1.0,8.0,1.0,0.0,4.0,8.0,11.0,1.0,3.0,1.0,2.0,0.0,0.0
ltd,61.0,0.0,2.0,0.0,0.0,0.0,0.0,42.0,50.0,2.0,0.0,0.0,1.0,6.0,418.0,2.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,757.0,16.0,50.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,36.0,74.0,0.0,720.0,1.0,2.0,0.0,50.0,2.0,42.0,0.0,9.0,0.0,0.0,6.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,50.0,1.0,50.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,29.0,0.0,1.0,50.0,365.0,0.0,0.0,0.0,0.0,0.0,273.0,2.0,50.0,9.0,2.0,143.0,0.0,0.0,1.0,0.0,28.0,3.0,3.0,0.0,0.0
biotech,0.0,7.0,41.0,1.0,0.0,3.0,9.0,0.0,5.0,37.0,17.0,10.0,17.0,179.0,0.0,18.0,4.0,3.0,19.0,22.0,0.0,0.0,3.0,28.0,214.0,2.0,16.0,1209.0,0.0,58.0,47.0,19.0,17.0,19.0,21.0,0.0,32.0,0.0,0.0,2.0,10.0,0.0,0.0,13.0,1076.0,15.0,48.0,0.0,0.0,56.0,0.0,0.0,35.0,31.0,3.0,54.0,73.0,12.0,186.0,32.0,88.0,15.0,0.0,0.0,2.0,7.0,46.0,6.0,0.0,0.0,14.0,28.0,0.0,164.0,0.0,290.0,0.0,30.0,1.0,12.0,49.0,30.0,10.0,15.0,7.0,1.0,97.0,15.0,10.0,48.0,0.0,3.0,8.0,14.0,0.0,79.0,3.0,971.0,0.0,0.0
fee,69.0,0.0,1.0,0.0,0.0,0.0,0.0,86.0,0.0,1.0,41.0,0.0,0.0,0.0,50.0,6.0,2.0,3.0,0.0,30.0,0.0,0.0,0.0,2.0,1.0,0.0,50.0,0.0,3732.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,1750.0,0.0,1.0,3584.0,2.0,0.0,146.0,3716.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3716.0,0.0,3716.0,0.0,0.0,1.0,484.0,0.0,0.0,18.0,0.0,0.0,3.0,0.0,85.0,3716.0,1022.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,5016.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,29.0,266.0,0.0,0.0,42.0
sinovac,10.0,13.0,0.0,67.0,25.0,97.0,129.0,0.0,0.0,232.0,61.0,43.0,0.0,153.0,0.0,208.0,0.0,288.0,28.0,75.0,0.0,34.0,61.0,30.0,1.0,19.0,8.0,58.0,0.0,4690.0,48.0,21.0,22.0,11.0,113.0,0.0,23.0,2.0,0.0,5.0,124.0,0.0,0.0,193.0,22.0,125.0,169.0,1.0,0.0,20.0,0.0,3.0,428.0,46.0,31.0,75.0,15.0,133.0,30.0,56.0,26.0,4.0,29.0,6.0,0.0,185.0,56.0,143.0,32.0,0.0,6.0,55.0,23.0,160.0,0.0,1487.0,47.0,98.0,0.0,20.0,64.0,33.0,4.0,21.0,44.0,0.0,78.0,8.0,39.0,30.0,0.0,101.0,25.0,65.0,0.0,10.0,4.0,1.0,0.0,0.0
company,0.0,18.0,14.0,3.0,2.0,1.0,62.0,0.0,7.0,12.0,13.0,9.0,6.0,16.0,1.0,10.0,7.0,24.0,16.0,8.0,0.0,2.0,13.0,143.0,35.0,3.0,1.0,47.0,0.0,48.0,720.0,5.0,22.0,11.0,6.0,0.0,9.0,0.0,0.0,5.0,28.0,0.0,0.0,7.0,84.0,14.0,20.0,0.0,0.0,63.0,0.0,1.0,13.0,15.0,2.0,3.0,14.0,27.0,27.0,7.0,18.0,39.0,3.0,0.0,3.0,3.0,3.0,16.0,4.0,0.0,0.0,14.0,2.0,20.0,0.0,279.0,1.0,7.0,1.0,5.0,4.0,6.0,6.0,11.0,3.0,2.0,24.0,6.0,51.0,8.0,0.0,5.0,8.0,7.0,0.0,33.0,8.0,27.0,0.0,0.0
variant,0.0,15.0,14.0,3.0,6.0,0.0,82.0,0.0,0.0,14.0,10.0,14.0,30.0,0.0,0.0,18.0,18.0,23.0,2.0,8.0,0.0,0.0,5.0,77.0,41.0,0.0,0.0,19.0,0.0,21.0,5.0,781.0,3.0,2.0,7.0,0.0,8.0,0.0,0.0,6.0,27.0,0.0,0.0,7.0,388.0,3.0,13.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,1.0,80.0,1.0,2.0,2.0,1.0,10.0,1.0,13.0,2.0,0.0,4.0,27.0,25.0,2.0,0.0,32.0,31.0,6.0,2.0,0.0,245.0,1.0,14.0,0.0,0.0,144.0,418.0,2.0,5.0,5.0,0.0,1.0,0.0,41.0,1.0,0.0,6.0,36.0,4.0,0.0,65.0,13.0,17.0,0.0,0.0
govt,0.0,1.0,1.0,0.0,8.0,9.0,63.0,0.0,0.0,6.0,52.0,27.0,3.0,15.0,5.0,52.0,13.0,15.0,16.0,2.0,0.0,3.0,16.0,76.0,35.0,1.0,1.0,17.0,0.0,22.0,22.0,3.0,854.0,18.0,14.0,0.0,12.0,0.0,0.0,0.0,59.0,0.0,0.0,12.0,309.0,9.0,104.0,0.0,0.0,36.0,0.0,3.0,11.0,10.0,5.0,8.0,5.0,6.0,33.0,8.0,12.0,0.0,4.0,1.0,1.0,25.0,0.0,4.0,2.0,0.0,105.0,15.0,14.0,23.0,0.0,320.0,1.0,19.0,4.0,43.0,0.0,4.0,77.0,37.0,14.0,0.0,8.0,14.0,56.0,5.0,0.0,4.0,8.0,10.0,0.0,90.0,15.0,15.0,0.0,0.0
centre,71.0,0.0,0.0,2.0,7.0,5.0,44.0,0.0,4.0,59.0,28.0,14.0,0.0,1.0,3.0,316.0,1.0,50.0,4.0,1.0,11.0,8.0,27.0,83.0,15.0,0.0,0.0,19.0,1.0,11.0,11.0,2.0,18.0,1554.0,10.0,0.0,8.0,6.0,0.0,4.0,37.0,0.0,0.0,30.0,743.0,1.0,41.0,82.0,0.0,18.0,0.0,5.0,0.0,11.0,11.0,7.0,16.0,20.0,15.0,33.0,2.0,0.0,3.0,5.0,1.0,81.0,0.0,8.0,2.0,1.0,67.0,7.0,5.0,3.0,0.0,213.0,1.0,21.0,39.0,60.0,0.0,3.0,19.0,25.0,16.0,2.0,9.0,33.0,10.0,5.0,0.0,6.0,1.0,18.0,320.0,29.0,7.0,8.0,0.0,0.0
covidvaccine,0.0,7.0,20.0,32.0,13.0,18.0,136.0,0.0,2.0,84.0,28.0,20.0,15.0,38.0,1.0,90.0,26.0,67.0,23.0,14.0,0.0,14.0,31.0,351.0,40.0,26.0,0.0,21.0,0.0,113.0,6.0,7.0,14.0,10.0,3427.0,0.0,15.0,5.0,0.0,36.0,31.0,0.0,0.0,59.0,514.0,11.0,48.0,0.0,0.0,20.0,0.0,1901.0,40.0,15.0,4.0,36.0,8.0,8.0,30.0,18.0,11.0,14.0,5.0,2.0,1896.0,394.0,11.0,73.0,15.0,1.0,1804.0,18.0,24.0,35.0,0.0,386.0,25.0,6.0,3074.0,25.0,27.0,8.0,12.0,11.0,28.0,1.0,37.0,13.0,115.0,21.0,0.0,29.0,11.0,31.0,0.0,67.0,27.0,19.0,0.0,1.0
floor,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993.0,0.0,0.0,422.0,0.0,0.0,0.0,13.0,0.0,983.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,435.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0
report,0.0,13.0,7.0,22.0,2.0,0.0,58.0,0.0,4.0,23.0,21.0,8.0,4.0,9.0,0.0,67.0,9.0,32.0,15.0,19.0,0.0,1.0,40.0,119.0,36.0,5.0,0.0,32.0,0.0,23.0,9.0,8.0,12.0,8.0,15.0,0.0,757.0,1.0,0.0,3.0,25.0,0.0,0.0,17.0,179.0,10.0,24.0,0.0,0.0,12.0,0.0,0.0,15.0,10.0,2.0,36.0,26.0,16.0,54.0,10.0,38.0,2.0,89.0,2.0,0.0,14.0,28.0,10.0,57.0,0.0,28.0,30.0,3.0,10.0,0.0,160.0,12.0,11.0,1.0,2.0,14.0,10.0,14.0,6.0,7.0,1.0,19.0,3.0,36.0,5.0,0.0,17.0,5.0,10.0,0.0,76.0,6.0,27.0,0.0,1.0
clinic,0.0,0.0,0.0,0.0,0.0,3.0,20.0,0.0,0.0,29.0,2.0,2.0,0.0,0.0,0.0,26.0,0.0,2.0,4.0,0.0,0.0,9.0,3.0,32.0,1.0,0.0,0.0,0.0,205.0,2.0,0.0,0.0,0.0,6.0,5.0,0.0,1.0,1235.0,0.0,0.0,9.0,151.0,0.0,0.0,1105.0,1.0,4.0,0.0,205.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,2.0,0.0,11.0,0.0,0.0,0.0,206.0,0.0,216.0,0.0,3.0,1.0,591.0,0.0,0.0,1.0,0.0,0.0,81.0,0.0,6.0,1077.0,0.0,1.0,0.0,0.0,1.0,12.0,0.0,0.0,1080.0,0.0,1.0,0.0,4.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
pmc,98.0,0.0,0.0,0.0,1.0,0.0,0.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0,0.0,0.0,1488.0,0.0,0.0,0.0,0.0,0.0,1492.0,0.0,0.0,314.0,0.0,0.0,841.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,881.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,207.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pfizerbiontech,2.0,15.0,0.0,18.0,4.0,32.0,170.0,0.0,0.0,70.0,17.0,24.0,0.0,1.0,0.0,49.0,1.0,1.0,29.0,5.0,0.0,12.0,39.0,43.0,0.0,15.0,0.0,2.0,0.0,5.0,5.0,6.0,0.0,4.0,36.0,0.0,3.0,0.0,0.0,1014.0,25.0,0.0,0.0,65.0,2.0,11.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,4.0,17.0,1.0,8.0,2.0,6.0,12.0,2.0,4.0,1.0,0.0,47.0,3.0,62.0,9.0,0.0,3.0,9.0,4.0,11.0,0.0,265.0,14.0,9.0,0.0,1.0,24.0,4.0,2.0,0.0,22.0,0.0,6.0,3.0,2.0,11.0,0.0,32.0,5.0,17.0,0.0,6.0,1.0,0.0,0.0,0.0
amp,0.0,28.0,18.0,21.0,24.0,45.0,327.0,1.0,5.0,116.0,53.0,43.0,18.0,28.0,4.0,133.0,42.0,126.0,18.0,39.0,0.0,15.0,60.0,406.0,73.0,34.0,1.0,10.0,0.0,124.0,28.0,27.0,59.0,37.0,31.0,0.0,25.0,9.0,0.0,25.0,2590.0,0.0,0.0,48.0,575.0,25.0,109.0,2.0,0.0,28.0,0.0,12.0,54.0,25.0,13.0,34.0,13.0,32.0,38.0,19.0,30.0,15.0,27.0,12.0,3.0,80.0,37.0,85.0,19.0,0.0,194.0,59.0,12.0,45.0,0.0,642.0,15.0,64.0,33.0,50.0,58.0,52.0,20.0,37.0,30.0,2.0,46.0,22.0,112.0,19.0,0.0,67.0,20.0,53.0,3.0,121.0,17.0,15.0,0.0,1.0
jul,44.0,1.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,26.0,0.0,0.0,0.0,36.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,36.0,0.0,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,1771.0,0.0,0.0,1681.0,1.0,2.0,34.0,1754.0,1.0,0.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1756.0,0.0,1756.0,0.0,1.0,0.0,194.0,0.0,1.0,20.0,0.0,0.0,12.0,0.0,72.0,1754.0,715.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1756.0,1.0,16.0,0.0,1.0,0.0,0.0,0.0,18.0,166.0,0.0,0.0,24.0
gurgaoncovaxin,534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1166.0,0.0,1166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.0,0.0,0.0,0.0,0.0,0.0,986.0,0.0,0.0,0.0,0.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0
jab,2.0,11.0,3.0,64.0,13.0,41.0,159.0,0.0,2.0,183.0,66.0,49.0,4.0,22.0,0.0,90.0,12.0,124.0,17.0,10.0,0.0,47.0,59.0,400.0,30.0,31.0,0.0,13.0,1.0,193.0,7.0,7.0,12.0,30.0,59.0,0.0,17.0,0.0,0.0,65.0,48.0,0.0,0.0,1919.0,328.0,18.0,18.0,0.0,0.0,4.0,0.0,4.0,20.0,26.0,9.0,24.0,2.0,15.0,17.0,22.0,4.0,5.0,12.0,8.0,2.0,55.0,4.0,30.0,28.0,0.0,31.0,21.0,19.0,29.0,0.0,307.0,39.0,26.0,8.0,23.0,24.0,10.0,17.0,6.0,40.0,1.0,17.0,13.0,79.0,13.0,0.0,69.0,11.0,65.0,0.0,43.0,26.0,9.0,0.0,3.0
covaxin,2637.0,56.0,1199.0,96.0,408.0,218.0,218.0,671.0,925.0,679.0,551.0,266.0,887.0,405.0,1281.0,1036.0,16.0,20.0,228.0,674.0,870.0,232.0,441.0,100.0,2290.0,18.0,720.0,1076.0,3584.0,22.0,84.0,388.0,309.0,743.0,514.0,983.0,179.0,1105.0,1492.0,2.0,575.0,1681.0,1166.0,328.0,45673.0,196.0,675.0,875.0,3685.0,322.0,1048.0,262.0,34.0,216.0,661.0,388.0,464.0,239.0,998.0,340.0,629.0,125.0,69.0,3816.0,200.0,4837.0,365.0,176.0,50.0,3916.0,2275.0,400.0,331.0,399.0,971.0,3449.0,81.0,841.0,17008.0,10023.0,634.0,622.0,227.0,147.0,150.0,1290.0,714.0,17434.0,292.0,311.0,954.0,50.0,261.0,363.0,639.0,1203.0,105.0,1083.0,681.0,823.0
country,1.0,3.0,0.0,0.0,11.0,1.0,38.0,0.0,1.0,18.0,69.0,19.0,16.0,57.0,0.0,50.0,41.0,105.0,16.0,70.0,0.0,10.0,5.0,38.0,24.0,1.0,1.0,15.0,2.0,125.0,14.0,3.0,9.0,1.0,11.0,0.0,10.0,1.0,0.0,11.0,25.0,1.0,0.0,18.0,196.0,1330.0,57.0,0.0,0.0,14.0,0.0,3.0,110.0,16.0,8.0,15.0,6.0,186.0,13.0,6.0,14.0,14.0,20.0,3.0,0.0,10.0,10.0,18.0,1.0,0.0,35.0,14.0,1.0,59.0,0.0,446.0,0.0,41.0,1.0,4.0,7.0,17.0,13.0,10.0,9.0,0.0,59.0,5.0,79.0,12.0,0.0,12.0,4.0,14.0,3.0,59.0,25.0,7.0,0.0,0.0
dos,1.0,13.0,9.0,3.0,12.0,13.0,130.0,0.0,16.0,122.0,63.0,22.0,7.0,4.0,0.0,144.0,83.0,338.0,72.0,15.0,0.0,11.0,43.0,217.0,64.0,5.0,2.0,48.0,0.0,169.0,20.0,13.0,104.0,41.0,48.0,0.0,24.0,4.0,0.0,30.0,109.0,2.0,0.0,18.0,675.0,57.0,2986.0,0.0,0.0,95.0,0.0,4.0,182.0,77.0,12.0,54.0,9.0,91.0,18.0,58.0,19.0,32.0,75.0,10.0,0.0,69.0,13.0,24.0,7.0,3.0,249.0,38.0,7.0,10.0,0.0,1195.0,15.0,95.0,2.0,21.0,45.0,17.0,8.0,77.0,105.0,1.0,10.0,16.0,191.0,4.0,0.0,48.0,6.0,28.0,0.0,147.0,49.0,47.0,0.0,0.0
hosp,0.0,0.0,0.0,1.0,0.0,0.0,0.0,502.0,0.0,4.0,2.0,1.0,0.0,0.0,315.0,81.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,1.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,314.0,0.0,2.0,34.0,0.0,0.0,875.0,0.0,0.0,888.0,147.0,0.0,314.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,151.0,0.0,1.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,306.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,406.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
pincode,72.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,1.0,0.0,42.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,0.0,3716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,1754.0,0.0,0.0,3685.0,0.0,0.0,147.0,3856.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3790.0,0.0,3759.0,0.0,0.0,0.0,487.0,0.0,0.0,28.0,0.0,0.0,107.0,0.0,85.0,3768.0,1055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5042.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,28.0,266.0,0.0,0.0,45.0
production,0.0,15.0,4.0,1.0,2.0,2.0,10.0,0.0,2.0,7.0,5.0,10.0,6.0,0.0,1.0,29.0,55.0,13.0,33.0,5.0,0.0,1.0,9.0,53.0,89.0,0.0,2.0,56.0,0.0,20.0,63.0,1.0,36.0,18.0,20.0,0.0,12.0,0.0,0.0,0.0,28.0,1.0,0.0,4.0,322.0,14.0,95.0,0.0,0.0,913.0,0.0,3.0,19.0,53.0,2.0,20.0,3.0,25.0,0.0,16.0,3.0,52.0,1.0,0.0,3.0,2.0,2.0,3.0,10.0,0.0,24.0,34.0,2.0,6.0,0.0,346.0,1.0,17.0,0.0,0.0,0.0,2.0,5.0,5.0,9.0,0.0,3.0,0.0,166.0,0.0,0.0,3.0,0.0,2.0,1.0,149.0,34.0,61.0,0.0,0.0
punecovaxin,96.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,841.0,0.0,0.0,0.0,0.0,0.0,1048.0,0.0,0.0,314.0,0.0,0.0,1026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
availability,0.0,0.0,0.0,0.0,6.0,1.0,4.0,0.0,3.0,6.0,3.0,7.0,0.0,0.0,0.0,14.0,0.0,3.0,1.0,0.0,0.0,2.0,11.0,7.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,5.0,1901.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,4.0,262.0,3.0,4.0,0.0,0.0,3.0,0.0,2061.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,1899.0,363.0,2.0,2.0,0.0,0.0,1743.0,1.0,4.0,1.0,0.0,64.0,0.0,4.0,3090.0,7.0,0.0,0.0,3.0,2.0,6.0,0.0,1.0,5.0,8.0,0.0,0.0,0.0,3.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0
china,0.0,6.0,0.0,4.0,10.0,12.0,23.0,0.0,0.0,37.0,53.0,25.0,1.0,153.0,0.0,54.0,13.0,534.0,32.0,68.0,0.0,5.0,21.0,16.0,0.0,1.0,9.0,35.0,0.0,428.0,13.0,3.0,11.0,0.0,40.0,0.0,15.0,1.0,0.0,0.0,54.0,1.0,0.0,20.0,34.0,110.0,182.0,0.0,0.0,19.0,0.0,0.0,1881.0,26.0,13.0,46.0,13.0,31.0,27.0,24.0,6.0,0.0,22.0,2.0,0.0,9.0,14.0,25.0,1.0,0.0,7.0,34.0,10.0,147.0,0.0,1070.0,3.0,67.0,0.0,2.0,39.0,6.0,28.0,8.0,21.0,1.0,66.0,1.0,13.0,53.0,0.0,7.0,17.0,11.0,0.0,20.0,2.0,1.0,0.0,0.0
